# BEAST v10.5.0
# Generated Sat Feb 28 11:54:06 GMT 2026 [seed=1772279634185]
# -window -working -options
state	joint	prior	likelihood	rootHeight	treeLength	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
990000	-500.49857021742264	-2.8491240125287094	-497.64944620489393	0.42742609420542627	1.3829884745441208	0.9495385783812332	0.1264646475366905	1.0	1.0	-497.64944620489393	0.0	-1.3306685314760431
1000000	-501.6569291811632	-4.75011668550189	-496.9068124956613	0.4223716969831402	1.3955249431221362	4.311992212148937	0.1129555890720063	1.0	1.0	-496.9068124956613	0.0	-1.9170041310290449
1010000	-498.50508275521025	-2.45104322432694	-496.0540395308833	0.3122267513905436	1.181114377396128	1.7339652755173494	0.41877637390783484	1.0	1.0	-496.0540395308833	0.0	-0.5313108634993341
1020000	-499.6012974437443	-2.8765106047218927	-496.7247868390224	0.4214219930429542	1.443826376215294	0.3779872808577451	0.6892635114140001	1.0	1.0	-496.7247868390224	0.0	-1.6600431124530095
1030000	-500.9102161465327	-4.012462277583372	-496.89775386894934	0.35303971741035745	1.1793726404767046	4.905413263814152	0.002693692421737221	1.0	1.0	-496.89775386894934	0.0	-1.0202747287877871
1040000	-499.00764868139527	-2.609787901480422	-496.3978607799148	0.3477357005404817	1.3533319887922162	0.39548968373353155	0.7485782231070226	1.0	1.0	-496.3978607799148	0.0	-1.3872904723045414
1050000	-499.2880257907335	-2.0553925656779946	-497.2326332250555	0.26776527478301293	1.0551198819496324	1.8891882491365064	0.12719103843104174	1.0	1.0	-497.2326332250555	0.0	-0.06542194499055232
1060000	-499.7652457250031	-2.050638535864901	-497.71460718913823	0.31137596734496487	1.1436439863289949	0.5640243086726117	0.7732918956823875	1.0	1.0	-497.71460718913823	0.0	-0.7492810539750137
1070000	-498.4884523973325	-2.457116703320586	-496.0313356940119	0.3336485207701143	1.254590588163913	1.1290259010854529	0.261969180581643	1.0	1.0	-496.0313356940119	0.0	-0.8397985826061625
1080000	-499.1009124260863	-3.0754632657091747	-496.02544916037715	0.33773756440635055	1.2640155210872777	0.7044231900120623	0.14861824495482862	1.0	1.0	-496.02544916037715	0.0	-1.6962099854823556
1090000	-499.0546580987473	-3.185182148103357	-495.86947595064396	0.34135789927607474	1.3245679591726436	1.5800907858187436	0.6104598989721082	1.0	1.0	-495.86947595064396	0.0	-1.3378905465476825
1100000	-502.4134853002689	-4.757637677817258	-497.65584762245163	0.3051788963048574	1.043223519932691	3.6670628789131445	0.662686618302966	1.0	1.0	-497.65584762245163	0.0	-2.1139241130946713
1110000	-498.5026323121639	-2.639795963983819	-495.86283634818005	0.3548446036887263	1.2291882102636877	2.044362880611233	0.3283431180893753	1.0	1.0	-495.86283634818005	0.0	-0.5822670474335269
1120000	-502.5982222819994	-4.3851312520524495	-498.21309102994695	0.2853956341821138	1.098303937511258	4.7568228584537735	0.3160237914721411	1.0	1.0	-498.21309102994695	0.0	-1.4315632426103098
1130000	-498.85449450229675	-2.645696218214985	-496.20879828408175	0.3240098216543886	1.194754380758368	0.7120454708115921	0.34670348108690385	1.0	1.0	-496.20879828408175	0.0	-1.2621140061782654
1140000	-499.6578291151519	-3.3098796217170565	-496.34794949343484	0.37475532540367373	1.4029407815319725	1.4745433802779981	0.618792700316325	1.0	1.0	-496.34794949343484	0.0	-1.513990340678324
1150000	-500.2516407820375	-2.511450564571702	-497.7401902174658	0.3932221414353926	1.287860119432035	1.4254226036269257	0.06816357192581747	1.0	1.0	-497.7401902174658	0.0	-0.7399761157354242
1160000	-499.39123420148485	-2.7360408336842004	-496.6551933678006	0.35008177442702165	1.2910333330180355	0.8164975736410164	0.2648706747624617	1.0	1.0	-496.6551933678006	0.0	-1.292910159056586
1170000	-500.97530272437456	-3.2150913173666495	-497.7602114070079	0.39172645005642853	1.3855599305403583	1.8484188478051087	0.47859862658424607	1.0	1.0	-497.7602114070079	0.0	-1.2433035484752406
1180000	-498.05908450421924	-2.430302225125142	-495.6287822790941	0.35428974337586655	1.2432294459777617	1.867077959391053	0.037123246859580815	1.0	1.0	-495.6287822790941	0.0	-0.45016964674223037
1190000	-498.3137458220463	-2.334777634124518	-495.9789681879218	0.35631107008805196	1.2264204826925866	1.2898745325975889	0.3839901652650644	1.0	1.0	-495.9789681879218	0.0	-0.6323394343977149
1200000	-499.4699509385627	-2.694332383410131	-496.77561855515256	0.3736644927163034	1.336004006926486	1.4709532527054217	0.4385266210114704	1.0	1.0	-496.77561855515256	0.0	-0.9002168101946862
1210000	-499.28136249889354	-3.4290984272505938	-495.85226407164294	0.32504325394714656	1.2448726197487456	3.3790716915963457	0.17443794368098733	1.0	1.0	-495.85226407164294	0.0	-0.8765714936702195
