# BEAST v10.5.0
# Generated Thu Feb 12 23:51:34 GMT 2026 [seed=1770940276861]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
79000	-455.2924580511927	-32.38633873808806	-422.9061193131046	1091.5093801476687	-1091.5093801476687	2451.1932065091314	353.8137575604508	0.0014816695440403997	0.0014816695440403999	-422.9061193131046	0.0	-22.21077116326389
80000	-452.4371980741182	-28.907913271890425	-423.5292848022278	276.6500916354419	-276.6500916354419	666.2873414610827	310.8014635604897	0.003859691824693707	0.003859691824693707	-423.5292848022278	0.0	-18.835025725866114
81000	-454.63665595053084	-31.60006951212883	-423.036586438402	210.88979471269965	-210.88979471269965	491.4550146439377	639.9985583120093	0.00564447463672495	0.00564447463672495	-423.036586438402	0.0	-19.931833827948573
82000	-457.99012630148826	-33.425793611173006	-424.56433269031527	906.386771133081	-906.386771133081	2202.3743387913487	872.2644039547373	0.001441381596159019	0.0014413815961590191	-424.56433269031527	0.0	-22.24801652591167
83000	-458.1687546041199	-35.002241117253234	-423.1665134868667	2413.632443526642	-2413.632443526642	5619.059942006602	1322.190714694377	4.605485401098115E-4	4.6054854010981144E-4	-423.1665134868667	0.0	-24.58439671854201
84000	-460.2233101272674	-35.467442917990155	-424.75586720927726	2022.3843015235618	-2022.3843015235618	5068.248718518571	505.114433821947	5.086741660984085E-4	5.086741660984085E-4	-424.75586720927726	0.0	-26.736456243955775
85000	-460.0644366069886	-35.5209844556106	-424.543452151378	1957.8413542857431	-1957.8413542857431	4464.344397584626	918.3553914159459	9.380907886041317E-4	9.380907886041318E-4	-424.543452151378	0.0	-23.800225993821932
86000	-462.4938025396415	-39.29275211718186	-423.2010504224596	3274.5795303537534	-3274.5795303537534	7497.494068987758	3234.3459579928012	4.031691678438006E-4	4.0316916784380053E-4	-423.2010504224596	0.0	-25.844934919423018
87000	-460.66369095589437	-36.41368791269335	-424.25000304320105	2620.8555900257493	-2620.8555900257493	6121.634345397439	1713.7103811441903	4.962916728782759E-4	4.962916728782759E-4	-424.25000304320105	0.0	-24.900405673528542
88000	-460.37640299007165	-35.88587943867213	-424.4905235513995	1916.1089153072624	-1916.1089153072624	4231.402412530408	277.3623360303175	8.36412995112078E-4	8.364129951120782E-4	-424.4905235513995	0.0	-26.681504559837233
89000	-458.59585770319694	-32.5034709741001	-426.09238672909686	1160.3384802236744	-1160.3384802236744	2868.7788644047564	422.94463605251053	8.902792430843942E-4	8.902792430843942E-4	-426.09238672909686	0.0	-23.491674995154376
90000	-459.8397011106424	-36.545247972281814	-423.2944531383606	2735.1605909995114	-2735.1605909995114	6374.058092075084	1429.2465064960868	5.532705749303738E-4	5.532705749303738E-4	-423.2944531383606	0.0	-24.97516083348461
91000	-459.454776361274	-36.401089202674555	-423.0536871585995	2028.929613934476	-2028.929613934476	4563.527382798993	1946.6652969589702	6.56356188146865E-4	6.56356188146865E-4	-423.0536871585995	0.0	-24.283702723713553
92000	-461.0495133670611	-38.060142038561956	-422.98937132849915	4321.773952344023	-4321.773952344023	10331.949014356858	1896.6063403025182	3.009958780062649E-4	3.0099587800626483E-4	-422.98937132849915	0.0	-26.7026415431706
93000	-461.36079163403485	-35.71469507011349	-425.6460965639214	3144.370107947979	-3144.370107947979	6850.618535554495	1407.425009446801	4.4789214071712315E-4	4.4789214071712304E-4	-425.6460965639214	0.0	-24.78173888182752
94000	-462.0920075734015	-35.27945913183405	-426.8125484415674	2310.134311595266	-2310.134311595266	5285.3038284671875	1475.183316426801	5.165977549036895E-4	5.165977549036895E-4	-426.8125484415674	0.0	-24.368672838600247
95000	-457.4706987402886	-34.9702957907473	-422.5004029495413	1098.7357061588593	-1098.7357061588593	2538.5064435934923	1430.5615706304266	0.0011961217046603345	0.0011961217046603343	-422.5004029495413	0.0	-23.042364472217503
96000	-458.4418877967415	-35.15551144104859	-423.28637635569294	871.5940094256149	-871.5940094256149	2048.25116018275	1547.6462133866835	0.0014096475547753062	0.0014096475547753062	-423.28637635569294	0.0	-22.991534002584856
97000	-457.409174484697	-33.58882291253085	-423.82035157216615	1682.551989228942	-1682.551989228942	3998.3952967899204	982.2750832790607	6.043947922193727E-4	6.043947922193727E-4	-423.82035157216615	0.0	-23.672971091738415
98000	-461.4352503498616	-37.26098429592335	-424.1742660539382	3236.7726780202984	-3236.7726780202984	7856.199736132473	927.6536034546199	4.3345901513897636E-4	4.3345901513897636E-4	-424.1742660539382	0.0	-26.972098568315502
99000	-463.887700829261	-37.508346878988775	-426.3793539502722	3205.154720054826	-3205.154720054826	7325.284282269117	1739.1095183671055	5.152446379190104E-4	5.152446379190105E-4	-426.3793539502722	0.0	-25.28978296172877
100000	-459.86637929571225	-36.74469949196683	-423.12167980374545	1959.0806859367165	-1959.0806859367165	4710.7027786294275	2061.4260026802594	6.130331230936677E-4	6.130331230936677E-4	-423.12167980374545	0.0	-24.612824953454954
101000	-457.6602137526855	-34.814767507476844	-422.8454462452086	2006.2296183600524	-2006.2296183600524	4423.237144876631	1090.5467011386977	7.798622916702013E-4	7.798622916702014E-4	-422.8454462452086	0.0	-23.576323538493323
